Tag,Class,Description,Category,Keywords
User Interface,Skill,Determine the type of user interface to use.,User Interface,User Interface
User Research,Skill,"Leverage user research to understand target audience preferences, behaviors, and motivations",User Research,
User Story,Skill,Document the need for a user story for a software activity.,User Story,User Story
User-Centered Design,Skill,Apply User-Centered Design (UCD) principles to develop innovative and intuitive product designs that meet user needs and preferences.,User-Centered Design,
Utilization management,Skill,Communicate with a third-party insurer to ensure reimbursement prior to offering a patient treatment.,Utilization management,"Utilization Management, Third-Party Insurance Reimbursement"
Value Engineering,Skill,Automate processes to reduce labor expenses.,Value Engineering,"Jira, Rally, VersionOne, Value Engineering, Agile Project Management tools, Greenhopper"
Value Proposition,Skill,Create value propositions that consider the requirements of the customer and the benefits of the product.,Value Proposition,"Marketing, benefits, Value Proposition"
Value-Based Care,Skill,Identify foundational concepts of value-based payment models.,Value-Based Care,Value-Based Care
Variance Analysis,Skill,Develop processes to investigate deviations in project performance from the standards defined in the project budget.,Variance Analysis,Variance Analysis
Ventilator Management,Skill,Titrate non-invasive positive pressure ventilation (NIVPPV).,Ventilator Management,Ventilator Management
Verbal Communication Skills,Skill,Apply the verbal teach-back method with pharmacy customers.,Verbal Communication Skills,Verbal Communication Skills
Verification And Validation,Skill,Validate system requirements against customer needs.,Verification And Validation,"Systems Engineer, Verification And Validation"
Version Control,Skill,Assess version control compliance against change management policies.,Version Control,Version Control
Veterans' Benefits,Skill,Instruct a patient about veterans' benefits eligibility.,Veterans' Benefits,"Medical Assistant, Veterans' Benefits"
Virtual Computing,Skill,Identify advanced virtual service concepts.,Virtual Computing,Virtual Computing
Virtual Machines,Skill,Determine the update schedule for the virtual machine and any applications running on the virtual machine.,Virtual Machines,Virtual Machines
Virtual Private Networks (VPN),Skill,Troubleshoot virtual private network (VPN) connectivity and performance issues.,Virtual Private Networks (VPN),"Virtual Private Networks (VPN), VPN devices from Cisco, CheckPoint, F5, Fortinet, Juniper, PaloAlto, Sophos"
Virtualization,Skill,Install software that meets virtualization goals.,Virtualization,Virtualization
Virtualization Security,Skill,Implement security policies that are applicable to the virtualized infrastructure.,Virtualization Security,"Information Systems Security, Virtualization Security, Securing Windows Server 2016 Virtualization"
Visionary,Skill,Determine the time frame to make choices for a pursued goal in relationship to sunk costs.,Visionary,Visionary
Visual Acuity,Skill,Identify stolen property using specific characteristics.,Visual Acuity,Visual Acuity
Visual Communications,Skill,Communicate information and ideas through resources that can be seen by students with exceptionalities.,Visual Communications,"students with exceptionalities, Visual Communications"
Visual Design,Skill,Employ visual creative design tools with advanced features and capabilities to best serve advertising campaigns or target markets across multiple channels.,Visual Design,"Advertising, Advertising Campaigns, Visual Design, Markets, Creative Design"
Visual Literacy,Skill,Use visual representations to convey meaning and promote understanding.,Visual Literacy,"Foundational Literacies, Visual Literacy"
Visual Merchandising,Skill,Use a variety of tools and materials for product displays and decorations.,Visual Merchandising,"Retail Sales Associate, Visual Merchandising"
Visual Storytelling,Skill,Use visual storytelling to persuade.,Visual Storytelling,"Influencer, Transferrable Skills Across Occupations, Visual Storytelling"
Visual Systems,Skill,Examine a patient's visual field report.,Visual Systems,"Visual Systems, Confrontation fields, Visual field testing machines"
Visualization,Skill,Use visualization to communicate findings from data analysis.,Visualization,"visualization, Transferrable Skills Across Occupations"
Vital Signs,Skill,"Record blood pressure, temperature, pulse, respirations, height, weight, length (infant), head circumference (infant), and pulse oximetry.",Vital Signs,"Medical Assistant, Care Coordination, Patient Care Coordination, Infant"
Vocational Guidance,Skill,Provide information about vocation planning resources to a patient.,Vocational Guidance,Vocational Guidance
Vulnerability,Skill,Communicate with vulnerable persons in a non-threatening manner.,Vulnerability,vulnerability
Vulnerability Assessments,Skill,Evaluate mitigation and remediation options for vulnerabilities based on risk.,Vulnerability Assessments,"Information Systems Security, Vulnerability Assessments, Vulnerability Management: The Big Picture, Nessus, Vulnerability Assessment, Vulnerability Analysis"
WAN Technologies,Skill,Transmit data efficiently over a large geographical area through both hardware and software.,WAN Technologies,"WAN Technologies, Network hardware, network software, network management software"
Warehouse Management,Skill,Establish warehouse protocols for a company based on relevant safety regulations.,Warehouse Management,"Management, Microsoft Office, safety, Reports, regulations, Warehouse Management, Warehousing, Inventory Management Software, Reorder Alerts, Dashboards, Barcoding and Mobile, System Integration"
Warehouse Management Systems,Skill,"Apply the principles of inventory control, including cycle counting and stock rotation.",Warehouse Management Systems,"Merchandise Processor, Warehouse Management Systems"
Warehousing,Skill,Develop a process to optimize storage of materials and finished goods in a warehouse.,Warehousing,"Optimization, Warehouse Management, Warehousing"
Waste Management,Skill,Implement waste management regulations to protect the environment and encourage public health.,Waste Management,Waste Management
Water Treatment,Skill,Produce potable water through a desalination process.,Water Treatment,Water Treatment
Wealth Management,Skill,Analyze the effectiveness of wealth management strategies to ensure financial goals are met.,Wealth Management,"Analysis, Analytical Techniques, Management, Goal Oriented, Goal Setting, Microsoft Excel, Microsoft Word, goals, Google Docs, Google Sheets, Finance, Microsoft Project, Monday.com, LucidCharts, Wealth Management"
Weapons Training,Skill,Identify weapon system nomenclature during law enforcement weapons training.,Weapons Training,Weapons Training
Web Access Management,Skill,Maintain web access control in the organization.,Web Access Management,"Web Access Management, Web Access Control"
Web Analytics,Skill,Collect website visitor and usage data.,Web Analytics,"Microsoft Excel, Microsoft Word, Google Analytics, Web Analytics"
Web Application Attack And Audit Framework (W3AF),Skill,Maintain Imperva Web Application Firewall (WAF) in the organization.,Web Application Attack And Audit Framework (W3AF),"Web Application Attack And Audit Framework (W3AF), Web Application Firewall, Web Application Firewall (WAF)-Imperva"
Web Application Security,Skill,Test web applications using best practices specific to the Open Web Application Security Project (OWASP) Top 10 vulnerabilities list.,Web Application Security,"Web Application Security, IBM AppScan, HP Fortify, Web Application Security Testing, SonarQube"
Web Applications,Skill,Implement one or many data stores.,Web Applications,"Microsoft Visual Studio, Web Applications"
Web Conferencing,Skill,Research online collaboration solutions.,Web Conferencing,"teams, Zoom, Skype, Web Conferencing, Web Conferencing hardware, Polycom, Logitech, Surface Hub, Web Conferencing software, BlueJeans, UberConference, RingCentral Meetings, WebEx Meetings, GoToMeeting, Join.me"
Web Design,Skill,Implement a website visitor engagement plan based on the customer journey to increase customer contact and inform sales pipelines.,Web Design,"Implementation, Sales, Customer Engagement, Journey Mapping, Web Design, Customer Journey"
